Participant,Item,List,Trial,Prime,Response
89,16,14,28,other,0
90,16,15,63,slang,1
91,16,1,103,standard,0
92,16,2,116,slang,1
93,16,3,34,standard,1
93,16,3,109,other,1
94,16,4,28,other,1
95,16,5,63,slang,1
96,16,6,103,standard,1
97,16,7,116,slang,0
98,16,8,34,standard,0
98,16,8,109,other,0
99,16,9,28,other,1
100,16,10,63,slang,0
102,16,12,116,slang,1
103,16,11,103,standard,1
105,16,15,63,slang,0
106,16,1,103,standard,0
107,16,2,116,slang,0
108,16,3,34,standard,0
108,16,3,109,other,0
109,16,4,28,other,1
110,16,5,63,slang,1
111,16,6,103,standard,1
112,16,6,103,standard,0
113,16,7,116,slang,1
114,16,8,34,standard,1
114,16,8,109,other,1
115,16,9,28,other,0
116,16,10,63,slang,0
117,16,11,103,standard,0
118,16,12,116,slang,1
119,16,13,34,standard,0
120,16,14,28,other,0
121,16,15,63,slang,1
122,16,1,103,standard,0
123,16,2,116,slang,1
124,16,3,34,standard,0
124,16,3,109,other,0
125,16,4,28,other,0
126,16,5,63,slang,1
127,16,6,103,standard,0
128,16,7,116,slang,1
129,16,8,34,standard,0
129,16,8,109,other,0
130,16,9,28,other,0
131,16,10,63,slang,0
132,16,11,103,standard,0
133,16,12,116,slang,1
135,16,14,28,other,1
137,16,1,103,standard,0
138,16,2,116,slang,1
139,16,3,34,standard,1
139,16,3,109,other,0
140,16,4,28,other,0
141,16,5,63,slang,1
142,16,6,103,standard,1
143,16,7,116,slang,0
146,16,10,63,slang,0
147,16,11,103,standard,0
148,16,6,103,standard,0
149,16,13,34,standard,1
149,16,13,109,other,0
150,16,13,34,standard,1
150,16,13,109,other,1
151,16,14,28,other,0
152,16,15,63,slang,1
153,16,1,103,standard,0
154,16,2,116,slang,0
155,16,3,34,standard,0
155,16,3,109,other,0
156,16,5,63,slang,1
157,16,5,63,slang,1
158,16,6,103,standard,0
159,16,7,116,slang,0
160,16,8,34,standard,0
160,16,8,109,other,0
161,16,9,28,other,0
162,16,10,63,slang,1
163,16,11,103,standard,0
164,16,12,116,slang,1
165,16,13,34,standard,1
165,16,13,109,other,1
166,16,14,28,other,0
NA,16,9,28,other,NA
1,17,1,38,slang,1
3,17,1,38,slang,0
4,17,4,67,slang,0
5,17,5,8,standard,0
6,17,6,38,slang,1
8,17,8,120,other,0
10,17,10,8,standard,0
11,17,11,38,slang,1
12,17,12,91,standard,0
13,17,13,120,other,0
14,17,14,67,slang,1
15,17,15,8,standard,0
16,17,3,120,other,1
17,17,2,91,standard,0
18,17,1,38,slang,1
19,17,4,67,slang,1
20,17,5,8,standard,1
21,17,6,38,slang,1
22,17,7,91,standard,1
23,17,8,120,other,1
24,17,9,67,slang,1
25,17,10,8,standard,1
26,17,11,38,slang,1
27,17,12,91,standard,1
28,17,13,120,other,1
29,17,14,67,slang,1
30,17,15,8,standard,0
31,17,1,38,slang,1
32,17,2,91,standard,1
33,17,3,120,other,1
34,17,4,67,slang,1
36,17,6,38,slang,0
37,17,7,91,standard,1
38,17,8,120,other,1
39,17,9,67,slang,1
40,17,10,8,standard,1
41,17,11,38,slang,1
42,17,12,91,standard,0
43,17,13,120,other,1
44,17,14,67,slang,1
45,17,15,8,standard,0
46,17,1,38,slang,1
47,17,2,91,standard,0
48,17,3,120,other,0
49,17,4,67,slang,0
50,17,5,8,standard,0
51,17,11,38,slang,1
52,17,7,91,standard,0
53,17,8,120,other,1
55,17,10,8,standard,0
56,17,6,38,slang,0
57,17,12,91,standard,0
58,17,13,120,other,0
59,17,14,67,slang,1
60,17,15,8,standard,1
61,17,1,38,slang,1
62,17,2,91,standard,1
64,17,4,67,slang,1
65,17,5,8,standard,1
66,17,6,38,slang,0
67,17,7,91,standard,0
68,17,8,120,other,0
69,17,9,67,slang,1
70,17,10,8,standard,0
71,17,11,38,slang,1
72,17,12,91,standard,0
73,17,13,120,other,1
74,17,14,67,slang,1
75,17,15,8,standard,1
76,17,1,38,slang,1
77,17,2,91,standard,0
78,17,3,120,other,1
79,17,4,67,slang,1
80,17,5,8,standard,0
81,17,6,38,slang,0
82,17,7,91,standard,1
83,17,8,120,other,0
84,17,9,67,slang,0
85,17,10,8,standard,0
86,17,11,38,slang,1
87,17,12,91,standard,1
88,17,13,120,other,0
89,17,14,67,slang,1
91,17,1,38,slang,0
92,17,2,91,standard,1
93,17,3,120,other,1
94,17,4,67,slang,1
95,17,5,8,standard,1
96,17,6,38,slang,1
97,17,7,91,standard,0
98,17,8,120,other,0
99,17,9,67,slang,1
100,17,10,8,standard,0
102,17,12,91,standard,0
103,17,11,38,slang,1
104,17,14,67,slang,1
105,17,15,8,standard,0
106,17,1,38,slang,1
108,17,3,120,other,0
109,17,4,67,slang,1
110,17,5,8,standard,1
111,17,6,38,slang,1
112,17,6,38,slang,0
113,17,7,91,standard,1
114,17,8,120,other,0
115,17,9,67,slang,0
116,17,10,8,standard,0
117,17,11,38,slang,0
118,17,12,91,standard,1
119,17,13,120,other,0
120,17,14,67,slang,1
122,17,1,38,slang,1
123,17,2,91,standard,1
124,17,3,120,other,0
125,17,4,67,slang,1
127,17,6,38,slang,0
128,17,7,91,standard,0
129,17,8,120,other,0
130,17,9,67,slang,1
131,17,10,8,standard,0
132,17,11,38,slang,1
133,17,12,91,standard,1
135,17,14,67,slang,1
137,17,1,38,slang,1
138,17,2,91,standard,1
139,17,3,120,other,1
140,17,4,67,slang,1
141,17,5,8,standard,0
142,17,6,38,slang,1
143,17,7,91,standard,1
145,17,9,67,slang,0
147,17,11,38,slang,1
148,17,6,38,slang,0
149,17,13,120,other,0
150,17,13,120,other,0
151,17,14,67,slang,0
152,17,15,8,standard,0
154,17,2,91,standard,0
155,17,3,120,other,0
156,17,5,8,standard,1
157,17,5,8,standard,0
158,17,6,38,slang,1
159,17,7,91,standard,1
160,17,8,120,other,0
161,17,9,67,slang,0
162,17,10,8,standard,1
163,17,11,38,slang,0
164,17,12,91,standard,0
165,17,13,120,other,1
166,17,14,67,slang,1
NA,17,9,67,slang,NA
1,18,1,49,standard,0
1,18,1,70,other,0
3,18,1,49,standard,0
3,18,1,70,other,0
4,18,4,123,standard,0
5,18,5,116,slang,0
5,18,5,84,other,0
6,18,6,49,standard,1
6,18,6,70,other,0
8,18,8,42,slang,1
10,18,10,116,slang,1
10,18,10,70,other,0
11,18,11,49,standard,0
12,18,12,49,other,0
12,18,12,70,other,0
13,18,13,42,slang,1
14,18,14,123,standard,1
15,18,15,116,slang,0
15,18,15,70,other,0
16,18,3,42,slang,1
17,18,2,70,other,0
17,18,2,49,other,1
18,18,1,49,standard,1
18,18,1,70,other,0
19,18,4,123,standard,0
20,18,5,116,slang,1
20,18,5,84,other,1
21,18,6,49,standard,0
21,18,6,70,other,1
22,18,7,49,other,1
22,18,7,70,other,1
23,18,8,42,slang,1
24,18,9,123,standard,1
25,18,10,116,slang,0
25,18,10,70,other,0
26,18,11,49,standard,1
26,18,11,52,other,1
27,18,12,49,other,1
27,18,12,70,other,1
28,18,13,42,slang,1
29,18,14,123,standard,0
30,18,15,116,slang,0
30,18,15,70,other,0
31,18,1,49,standard,1
31,18,1,70,other,1
32,18,2,49,other,0
32,18,2,70,other,0
33,18,3,42,slang,1
34,18,4,123,standard,0
35,18,5,116,slang,1
35,18,5,84,other,1
36,18,6,49,standard,0
36,18,6,70,other,0
37,18,7,49,other,1
37,18,7,70,other,1
38,18,8,42,slang,1
39,18,9,123,standard,0
40,18,10,116,slang,1
40,18,10,70,other,1
41,18,11,49,standard,1
41,18,11,52,other,1
42,18,12,70,other,0
43,18,13,42,slang,1
44,18,14,123,standard,0
45,18,15,116,slang,0
45,18,15,70,other,1
46,18,1,49,standard,0
46,18,1,70,other,0
47,18,2,70,other,0
47,18,2,49,other,1
48,18,3,42,slang,0
49,18,4,123,standard,0
50,18,5,116,slang,0
50,18,5,84,other,1
51,18,11,49,standard,0
51,18,11,52,other,1
52,18,7,49,other,0
52,18,7,70,other,0
53,18,8,42,slang,1
55,18,10,116,slang,1
55,18,10,70,other,1
56,18,6,49,standard,0
56,18,6,70,other,0
57,18,12,49,other,0
57,18,12,70,other,0
58,18,13,42,slang,0
59,18,14,123,standard,1
60,18,15,116,slang,1
60,18,15,70,other,0
61,18,1,49,standard,0
61,18,1,70,other,0
62,18,2,49,other,1
62,18,2,70,other,1
63,18,3,42,slang,0
64,18,4,123,standard,0
65,18,5,116,slang,1
65,18,5,84,other,1
66,18,6,49,standard,0
66,18,6,70,other,0
67,18,7,49,other,0
67,18,7,70,other,0
68,18,8,42,slang,1
69,18,9,123,standard,1
70,18,10,116,slang,1
70,18,10,70,other,0
71,18,11,49,standard,0
71,18,11,52,other,1
72,18,12,70,other,0
72,18,12,49,other,1
73,18,13,42,slang,1
74,18,14,123,standard,0
75,18,15,116,slang,0
75,18,15,70,other,0
76,18,1,49,standard,0
76,18,1,70,other,0
77,18,2,49,other,0
77,18,2,70,other,0
78,18,3,42,slang,1
79,18,4,123,standard,0
80,18,5,116,slang,0
80,18,5,84,other,0
81,18,6,49,standard,0
81,18,6,70,other,0
82,18,7,49,other,0
82,18,7,70,other,0
83,18,8,42,slang,0
84,18,9,123,standard,0
85,18,10,116,slang,0
85,18,10,70,other,1
86,18,11,49,standard,0
86,18,11,52,other,0
87,18,12,49,other,0
87,18,12,70,other,0
88,18,13,42,slang,1
89,18,14,123,standard,0
90,18,15,116,slang,1
90,18,15,70,other,1
91,18,1,49,standard,0
91,18,1,70,other,0
92,18,2,49,other,1
92,18,2,70,other,1
93,18,3,42,slang,1
94,18,4,123,standard,1
95,18,5,116,slang,0
95,18,5,84,other,0
96,18,6,49,standard,0
96,18,6,70,other,0
97,18,7,70,other,0
97,18,7,49,other,1
98,18,8,42,slang,1
99,18,9,123,standard,1
100,18,10,116,slang,1
100,18,10,70,other,0
102,18,12,49,other,0
102,18,12,70,other,1
103,18,11,49,standard,1
103,18,11,52,other,1
104,18,14,123,standard,0
105,18,15,116,slang,0
105,18,15,70,other,1
106,18,1,49,standard,0
106,18,1,70,other,1
107,18,2,49,other,0
107,18,2,70,other,0
108,18,3,42,slang,1
109,18,4,123,standard,0
110,18,5,116,slang,1
110,18,5,84,other,0
111,18,6,49,standard,1
111,18,6,70,other,1
112,18,6,49,standard,0
112,18,6,70,other,0
113,18,7,49,other,0
113,18,7,70,other,1
114,18,8,42,slang,1
115,18,9,123,standard,0
116,18,10,116,slang,1
116,18,10,70,other,1
118,18,12,49,other,1
118,18,12,70,other,1
119,18,13,42,slang,0
120,18,14,123,standard,1
121,18,15,116,slang,0
122,18,1,49,standard,0
122,18,1,70,other,0
123,18,2,49,other,1
123,18,2,70,other,1
124,18,3,42,slang,0
125,18,4,123,standard,1
126,18,5,116,slang,0
126,18,5,84,other,0
127,18,6,49,standard,0
127,18,6,70,other,0
128,18,7,70,other,0
128,18,7,49,other,1
129,18,8,42,slang,0
130,18,9,123,standard,0
131,18,10,116,slang,1
132,18,11,49,standard,1
132,18,11,52,other,0
133,18,12,49,other,0
133,18,12,70,other,1
135,18,14,123,standard,1
137,18,1,49,standard,0
137,18,1,70,other,0
138,18,2,49,other,1
138,18,2,70,other,1
139,18,3,42,slang,1
140,18,4,123,standard,0
141,18,5,116,slang,0
141,18,5,84,other,1
142,18,6,49,standard,0
142,18,6,70,other,1
143,18,7,70,other,1
145,18,9,123,standard,1
146,18,10,116,slang,1
146,18,10,70,other,0
147,18,11,49,standard,1
147,18,11,52,other,1
148,18,6,49,standard,0
148,18,6,70,other,0
149,18,13,42,slang,1
150,18,13,42,slang,1
151,18,14,123,standard,0
152,18,15,116,slang,0
152,18,15,70,other,1
153,18,1,49,standard,0
154,18,2,49,other,1
154,18,2,70,other,1
155,18,3,42,slang,1
156,18,5,116,slang,1
156,18,5,84,other,1
157,18,5,116,slang,0
157,18,5,84,other,0
158,18,6,70,other,0
159,18,7,49,other,0
159,18,7,70,other,0
160,18,8,42,slang,0
161,18,9,123,standard,0
162,18,10,116,slang,1
162,18,10,70,other,0
163,18,11,49,standard,0
163,18,11,52,other,0
164,18,12,49,other,1
164,18,12,70,other,1
165,18,13,42,slang,1
166,18,14,123,standard,1
NA,18,9,123,standard,NA
1,19,1,42,other,0
3,19,1,42,other,0
4,19,4,59,slang,0
5,19,5,87,standard,0
5,19,5,109,other,0
6,19,6,42,other,1
8,19,8,67,standard,0
10,19,10,87,standard,0
10,19,10,84,other,0
11,19,11,42,other,0
12,19,12,103,slang,1
13,19,13,67,standard,0
14,19,14,59,slang,0
15,19,15,87,standard,0
15,19,15,84,other,0
16,19,3,67,standard,0
17,19,2,103,slang,0
17,19,2,109,other,0
18,19,1,42,other,1
19,19,4,59,slang,0
20,19,5,87,standard,1
20,19,5,109,other,1
21,19,6,42,other,1
22,19,7,103,slang,1
22,19,7,109,other,1
23,19,8,67,standard,1
24,19,9,59,slang,1
25,19,10,87,standard,0
25,19,10,84,other,0
26,19,11,42,other,1
27,19,12,103,slang,1
28,19,13,67,standard,0
29,19,14,59,slang,1
30,19,15,87,standard,0
30,19,15,84,other,0
31,19,1,42,other,0
32,19,2,103,slang,0
32,19,2,109,other,1
33,19,3,67,standard,0
34,19,4,59,slang,0
35,19,5,109,other,1
36,19,6,42,other,0
37,19,7,103,slang,1
37,19,7,109,other,0
38,19,8,67,standard,1
39,19,9,59,slang,1
40,19,10,87,standard,0
40,19,10,84,other,1
41,19,11,42,other,1
42,19,12,103,slang,0
43,19,13,67,standard,1
44,19,14,59,slang,1
45,19,15,87,standard,0
45,19,15,84,other,1
46,19,1,42,other,0
47,19,2,103,slang,1
47,19,2,109,other,1
48,19,3,67,standard,0
49,19,4,59,slang,0
50,19,5,87,standard,0
50,19,5,109,other,1
51,19,11,42,other,1
52,19,7,103,slang,0
52,19,7,109,other,0
53,19,8,67,standard,0
55,19,10,87,standard,1
55,19,10,84,other,1
56,19,6,42,other,0
57,19,12,103,slang,0
58,19,13,67,standard,0
59,19,14,59,slang,0
60,19,15,87,standard,0
60,19,15,84,other,0
61,19,1,42,other,0
62,19,2,103,slang,1
62,19,2,109,other,1
63,19,3,67,standard,0
64,19,4,59,slang,0
65,19,5,87,standard,1
65,19,5,109,other,1
66,19,6,42,other,0
67,19,7,103,slang,0
67,19,7,109,other,0
68,19,8,67,standard,0
69,19,9,59,slang,1
70,19,10,87,standard,0
70,19,10,84,other,1
71,19,11,42,other,0
72,19,12,103,slang,1
73,19,13,67,standard,0
74,19,14,59,slang,0
75,19,15,87,standard,0
75,19,15,84,other,0
76,19,1,42,other,0
77,19,2,103,slang,0
77,19,2,109,other,0
78,19,3,67,standard,0
79,19,4,59,slang,1
80,19,5,87,standard,0
80,19,5,109,other,0
81,19,6,42,other,0
82,19,7,103,slang,0
83,19,8,67,standard,0
84,19,9,59,slang,0
85,19,10,87,standard,0
85,19,10,84,other,1
86,19,11,42,other,0
87,19,12,103,slang,1
88,19,13,67,standard,0
89,19,14,59,slang,0
90,19,15,87,standard,0
90,19,15,84,other,0
91,19,1,42,other,0
92,19,2,103,slang,NA
92,19,2,109,other,1
93,19,3,67,standard,0
94,19,4,59,slang,1
95,19,5,87,standard,0
95,19,5,109,other,0
96,19,6,42,other,0
97,19,7,103,slang,0
97,19,7,109,other,1
98,19,8,67,standard,0
99,19,9,59,slang,1
100,19,10,87,standard,0
100,19,10,84,other,0
101,19,11,42,other,0
102,19,12,103,slang,1
103,19,11,42,other,1
104,19,14,59,slang,1
105,19,15,87,standard,0
105,19,15,84,other,0
106,19,1,42,other,0
107,19,2,103,slang,1
107,19,2,109,other,1
108,19,3,67,standard,0
109,19,4,59,slang,1
110,19,5,87,standard,0
110,19,5,109,other,0
111,19,6,42,other,1
112,19,6,42,other,0
113,19,7,103,slang,1
113,19,7,109,other,0
114,19,8,67,standard,0
115,19,9,59,slang,0
116,19,10,87,standard,0
116,19,10,84,other,0
118,19,12,103,slang,1
119,19,13,67,standard,0
120,19,14,59,slang,1
121,19,15,84,other,0
122,19,1,42,other,0
123,19,2,103,slang,1
123,19,2,109,other,1
124,19,3,67,standard,0
125,19,4,59,slang,0
126,19,5,87,standard,0
126,19,5,109,other,1
127,19,6,42,other,0
128,19,7,103,slang,1
128,19,7,109,other,1
129,19,8,67,standard,0
130,19,9,59,slang,1
131,19,10,87,standard,0
131,19,10,84,other,0
132,19,11,42,other,0
133,19,12,103,slang,1
135,19,14,59,slang,1
136,19,15,87,standard,0
136,19,15,84,other,0
137,19,1,42,other,0
138,19,2,103,slang,1
138,19,2,109,other,1
139,19,3,67,standard,1
140,19,4,59,slang,0
141,19,5,87,standard,0
141,19,5,109,other,1
142,19,6,42,other,1
143,19,7,103,slang,1
143,19,7,109,other,1
145,19,9,59,slang,1
146,19,10,87,standard,1
147,19,11,42,other,1
148,19,6,42,other,0
149,19,13,67,standard,0
150,19,13,67,standard,0
151,19,14,59,slang,1
152,19,15,87,standard,0
152,19,15,84,other,0
154,19,2,103,slang,1
154,19,2,109,other,1
155,19,3,67,standard,0
156,19,5,87,standard,0
156,19,5,109,other,1
157,19,5,87,standard,0
157,19,5,109,other,0
158,19,6,42,other,0
159,19,7,103,slang,1
159,19,7,109,other,0
160,19,8,67,standard,0
161,19,9,59,slang,0
162,19,10,87,standard,0
162,19,10,84,other,0
163,19,11,42,other,0
164,19,12,103,slang,1
165,19,13,67,standard,1
166,19,14,59,slang,1
NA,19,9,59,slang,NA
4,20,4,78,standard,0
5,20,5,112,other,0
6,20,6,112,slang,0
8,20,8,14,slang,1
10,20,10,112,other,0
11,20,11,112,slang,0
12,20,12,5,standard,0
13,20,13,14,slang,0
14,20,14,78,standard,0
15,20,15,112,other,0
16,20,3,14,slang,1
19,20,4,78,standard,0
20,20,5,112,other,1
21,20,6,112,slang,1
22,20,7,5,standard,0
23,20,8,14,slang,1
24,20,9,78,standard,1
25,20,10,112,other,0
26,20,11,112,slang,1
27,20,12,5,standard,0
28,20,13,14,slang,1
29,20,14,78,standard,1
30,20,15,112,other,0
32,20,2,5,standard,0
33,20,3,14,slang,0
34,20,4,78,standard,0
35,20,5,112,other,1
36,20,6,112,slang,0
37,20,7,5,standard,0
38,20,8,14,slang,1
39,20,9,78,standard,0
40,20,10,112,other,1
41,20,11,112,slang,1
43,20,13,14,slang,1
44,20,14,78,standard,1
45,20,15,112,other,0
47,20,2,5,standard,1
48,20,3,14,slang,1
49,20,4,78,standard,0
50,20,5,112,other,1
51,20,11,112,slang,0
52,20,7,5,standard,0
53,20,8,14,slang,1
55,20,10,112,other,1
56,20,6,112,slang,0
57,20,12,5,standard,0
58,20,13,14,slang,1
59,20,14,78,standard,0
60,20,15,112,other,0
62,20,2,5,standard,1
63,20,3,14,slang,1
64,20,4,78,standard,0
65,20,5,112,other,1
66,20,6,112,slang,1
67,20,7,5,standard,0
68,20,8,14,slang,1
69,20,9,78,standard,1
70,20,10,112,other,1
71,20,11,112,slang,1
72,20,12,5,standard,0
73,20,13,14,slang,1
74,20,14,78,standard,1
75,20,15,112,other,0
77,20,2,5,standard,0
78,20,3,14,slang,1
79,20,4,78,standard,0
80,20,5,112,other,0
81,20,6,112,slang,0
82,20,7,5,standard,0
83,20,8,14,slang,0
84,20,9,78,standard,0
85,20,10,112,other,1
86,20,11,112,slang,1
87,20,12,5,standard,0
88,20,13,14,slang,0
89,20,14,78,standard,0
90,20,15,112,other,1
92,20,2,5,standard,NA
93,20,3,14,slang,1
94,20,4,78,standard,1
95,20,5,112,other,0
96,20,6,112,slang,0
97,20,7,5,standard,1
98,20,8,14,slang,0
99,20,9,78,standard,0
100,20,10,112,other,1
102,20,12,5,standard,0
103,20,11,112,slang,1
104,20,14,78,standard,0
105,20,15,112,other,0
107,20,2,5,standard,1
108,20,3,14,slang,0
109,20,4,78,standard,1
110,20,5,112,other,0
111,20,6,112,slang,1
112,20,6,112,slang,1
113,20,7,5,standard,1
114,20,8,14,slang,0
115,20,9,78,standard,0
116,20,10,112,other,0
117,20,11,112,slang,0
118,20,12,5,standard,1
119,20,13,14,slang,0
120,20,14,78,standard,1
121,20,15,112,other,0
123,20,2,5,standard,1
124,20,3,14,slang,1
125,20,4,78,standard,0
126,20,5,112,other,0
127,20,6,112,slang,0
128,20,7,5,standard,0
129,20,8,14,slang,0
130,20,9,78,standard,0
131,20,10,112,other,1
132,20,11,112,slang,1
133,20,12,5,standard,0
135,20,14,78,standard,0
136,20,15,112,other,0
139,20,3,14,slang,0
140,20,4,78,standard,0
141,20,5,112,other,1
142,20,6,112,slang,1
143,20,7,5,standard,0
145,20,9,78,standard,1
146,20,10,112,other,1
147,20,11,112,slang,1
148,20,6,112,slang,1
149,20,13,14,slang,1
150,20,13,14,slang,1
151,20,14,78,standard,0
152,20,15,112,other,1
154,20,2,5,standard,1
155,20,3,14,slang,0
156,20,5,112,other,0
157,20,5,112,other,1
158,20,6,112,slang,0
159,20,7,5,standard,0
160,20,8,14,slang,0
161,20,9,78,standard,0
162,20,10,112,other,1
163,20,11,112,slang,0
164,20,12,5,standard,1
165,20,13,14,slang,1
166,20,14,78,standard,1
NA,20,9,78,standard,NA
1,21,1,46,slang,1
3,21,1,46,slang,0
4,21,4,55,slang,0
4,21,4,52,other,0
5,21,5,38,standard,0
6,21,6,46,slang,1
8,21,8,123,other,0
10,21,10,38,standard,0
11,21,11,46,slang,1
12,21,12,18,standard,0
13,21,13,123,other,1
14,21,14,55,slang,1
14,21,14,70,other,0
15,21,15,38,standard,0
16,21,3,123,other,1
17,21,2,18,standard,0
18,21,1,46,slang,1
19,21,4,55,slang,0
19,21,4,52,other,0
20,21,5,38,standard,0
21,21,6,46,slang,1
22,21,7,18,standard,0
23,21,8,123,other,1
24,21,9,55,slang,1
24,21,9,70,other,0
25,21,10,38,standard,0
26,21,11,46,slang,1
27,21,12,18,standard,1
28,21,13,123,other,1
29,21,14,55,slang,1
29,21,14,70,other,1
30,21,15,38,standard,0
31,21,1,46,slang,1
32,21,2,18,standard,0
33,21,3,123,other,1
34,21,4,55,slang,0
34,21,4,52,other,0
35,21,5,38,standard,0
36,21,6,46,slang,0
37,21,7,18,standard,0
38,21,8,123,other,1
39,21,9,55,slang,1
39,21,9,70,other,0
40,21,10,38,standard,1
41,21,11,46,slang,1
42,21,12,18,standard,0
43,21,13,123,other,1
44,21,14,55,slang,1
44,21,14,70,other,0
45,21,15,38,standard,1
46,21,1,46,slang,1
47,21,2,18,standard,1
48,21,3,123,other,0
49,21,4,55,slang,0
49,21,4,52,other,0
50,21,5,38,standard,0
51,21,11,46,slang,0
52,21,7,18,standard,0
53,21,8,123,other,1
55,21,10,38,standard,1
56,21,6,46,slang,0
57,21,12,18,standard,0
58,21,13,123,other,0
59,21,14,55,slang,1
59,21,14,70,other,0
60,21,15,38,standard,0
61,21,1,46,slang,0
62,21,2,18,standard,1
63,21,3,123,other,1
64,21,4,55,slang,0
64,21,4,52,other,0
65,21,5,38,standard,0
66,21,6,46,slang,1
67,21,7,18,standard,0
68,21,8,123,other,0
69,21,9,55,slang,1
69,21,9,70,other,0
70,21,10,38,standard,1
71,21,11,46,slang,1
72,21,12,18,standard,0
73,21,13,123,other,0
74,21,14,55,slang,1
74,21,14,70,other,0
75,21,15,38,standard,0
76,21,1,46,slang,0
77,21,2,18,standard,0
78,21,3,123,other,1
79,21,4,55,slang,1
79,21,4,52,other,0
80,21,5,38,standard,0
81,21,6,46,slang,0
82,21,7,18,standard,0
83,21,8,123,other,0
84,21,9,55,slang,0
84,21,9,70,other,0
85,21,10,38,standard,0
86,21,11,46,slang,1
87,21,12,18,standard,1
88,21,13,123,other,0
89,21,14,55,slang,0
89,21,14,70,other,0
90,21,15,38,standard,0
91,21,1,46,slang,0
92,21,2,18,standard,1
93,21,3,123,other,1
94,21,4,55,slang,0
94,21,4,52,other,1
95,21,5,38,standard,0
96,21,6,46,slang,0
97,21,7,18,standard,0
98,21,8,123,other,0
99,21,9,55,slang,0
99,21,9,70,other,1
100,21,10,38,standard,0
102,21,12,18,standard,1
103,21,11,46,slang,1
104,21,14,55,slang,1
104,21,14,70,other,0
106,21,1,46,slang,0
107,21,2,18,standard,0
108,21,3,123,other,0
109,21,4,55,slang,1
109,21,4,52,other,1
110,21,5,38,standard,0
111,21,6,46,slang,1
112,21,6,46,slang,0
113,21,7,18,standard,1
114,21,8,123,other,0
115,21,9,55,slang,0
115,21,9,70,other,0
116,21,10,38,standard,1
117,21,11,46,slang,1
118,21,12,18,standard,1
119,21,13,123,other,0
120,21,14,55,slang,1
120,21,14,70,other,0
122,21,1,46,slang,0
123,21,2,18,standard,1
124,21,3,123,other,0
125,21,4,55,slang,0
125,21,4,52,other,0
126,21,5,38,standard,0
127,21,6,46,slang,0
128,21,7,18,standard,0
129,21,8,123,other,0
130,21,9,55,slang,1
130,21,9,70,other,0
131,21,10,38,standard,0
132,21,11,46,slang,0
133,21,12,18,standard,1
135,21,14,55,slang,1
135,21,14,70,other,0
137,21,1,46,slang,0
138,21,2,18,standard,0
140,21,4,55,slang,0
140,21,4,52,other,0
141,21,5,38,standard,0
142,21,6,46,slang,1
143,21,7,18,standard,0
145,21,9,55,slang,0
145,21,9,70,other,0
146,21,10,38,standard,0
147,21,11,46,slang,1
148,21,6,46,slang,0
149,21,13,123,other,0
150,21,13,123,other,1
151,21,14,55,slang,0
151,21,14,70,other,0
152,21,15,38,standard,0
153,21,1,46,slang,1
154,21,2,18,standard,0
155,21,3,123,other,0
156,21,5,38,standard,1
157,21,5,38,standard,0
158,21,6,46,slang,0
159,21,7,18,standard,0
160,21,8,123,other,0
161,21,9,55,slang,1
161,21,9,70,other,0
162,21,10,38,standard,0
163,21,11,46,slang,0
164,21,12,18,standard,0
165,21,13,123,other,1
166,21,14,55,slang,1
166,21,14,70,other,0
NA,21,9,55,slang,NA
NA,21,9,70,other,NA
1,22,1,87,standard,0
3,22,1,87,standard,0
4,22,4,116,standard,0
4,22,4,70,other,0
5,22,5,1,slang,1
6,22,6,87,standard,0
8,22,8,78,slang,0
10,22,10,1,slang,1
11,22,11,87,standard,0
12,22,12,46,other,0
13,22,13,78,slang,1
14,22,14,116,standard,1
14,22,14,52,other,1
15,22,15,1,slang,0
16,22,3,78,slang,1
17,22,2,46,other,1
18,22,1,87,standard,1
19,22,4,116,standard,0
19,22,4,70,other,0
20,22,5,1,slang,0
21,22,6,87,standard,1
22,22,7,46,other,1
23,22,8,78,slang,1
24,22,9,116,standard,0
24,22,9,52,other,1
25,22,10,1,slang,1
26,22,11,87,standard,1
27,22,12,46,other,1
28,22,13,78,slang,1
29,22,14,116,standard,1
29,22,14,52,other,1
30,22,15,1,slang,1
31,22,1,87,standard,1
33,22,3,78,slang,1
34,22,4,116,standard,0
34,22,4,70,other,0
36,22,6,87,standard,1
37,22,7,46,other,1
38,22,8,78,slang,1
39,22,9,116,standard,0
39,22,9,52,other,0
40,22,10,1,slang,1
41,22,11,87,standard,1
42,22,12,46,other,0
43,22,13,78,slang,1
44,22,14,116,standard,0
44,22,14,52,other,1
45,22,15,1,slang,1
46,22,1,87,standard,1
47,22,2,46,other,1
48,22,3,78,slang,1
49,22,4,116,standard,0
49,22,4,70,other,0
50,22,5,1,slang,0
51,22,11,87,standard,0
52,22,7,46,other,0
53,22,8,78,slang,1
55,22,10,1,slang,1
56,22,6,87,standard,0
57,22,12,46,other,0
58,22,13,78,slang,1
59,22,14,116,standard,1
59,22,14,52,other,1
60,22,15,1,slang,1
61,22,1,87,standard,1
62,22,2,46,other,1
63,22,3,78,slang,1
64,22,4,116,standard,0
64,22,4,70,other,0
65,22,5,1,slang,1
66,22,6,87,standard,0
67,22,7,46,other,0
68,22,8,78,slang,1
69,22,9,116,standard,1
69,22,9,52,other,1
70,22,10,1,slang,0
71,22,11,87,standard,1
72,22,12,46,other,1
73,22,13,78,slang,1
